date,time,ward,location,latitude,longitude,situation
2018-09-26,11:00,南区,南区石山760番地付近,42.94013,141.328432,足跡を確認
2018-09-27,21:14,南区,南区石山831番地1付近,42.960356,141.342649,"ヒグマを目撃
（親子）"
2018-10-01,23:58,南区,南区石山78番地37付近,42.966163,141.339721,"ヒグマを目撃
（親子）"
2018-10-06,6:00,南区,南区芸術の森3丁目915-14付近,42.933239,141.3353,"ヒグマを目撃
（親子）"
2018-10-07,22:30,南区,南区真駒内泉町1丁目11-1付近,42.987463,141.350956,"ヒグマを目撃
（親子）"
2018-10-07,23:30,南区,南区藻岩下1977番地287付近,43.010073,141.334758,"ヒグマを目撃
（親子）"
2018-10-08,15:00,南区,南区北ノ沢1842番地287付近,43.008602,141.301029,足跡を確認
2018-10-12,7:50,南区,南区川沿8条3丁目1付近,42.987579,141.332157,ヒグマらしき動物を目撃
2018-10-14,5:00,西区,西区宮の沢490-249付近,43.084945,141.249841,動物が吠える声を聞いた
2018-10-19,16:10,南区,南区真駒内17番地1付近,42.99315,141.361985,ヒグマを目撃
2018-10-20,16:00,南区,南区真駒内無番地（豊平川河畔）,42.987698,141.336352,ヒグマを目撃
2018-10-23,7:25,南区,南区真駒内柏丘12丁目598番地1付近,42.97688,141.344838,ヒグマらしき動物を目撃
2018-10-25,7:12,南区,南区滝野93番地12付近,42.919381,141.36727,"ヒグマを目撃
（親子）"
2018-10-26,11:50,南区,南区藻岩山（観光道路料金所から約350m）,43.012336,141.321425,ヒグマを目撃
2018-11-03,6:10,南区,南区真駒内柏丘6丁目1付近,42.990384,141.342857,ヒグマらしき動物を目撃
2018-11-04,不明,中央区,中央区盤渓市民の森 案内板11番から17番に向かって約150mの地点,43.019206,141.277421,フンを確認
2018-11-05,23:15,南区,南区豊滝1丁目1番付近,42.953817,141.238045,ヒグマを目撃
2018-11-17,9:55,中央区,中央区宮の森1274番地144付近,43.055558,141.291321,"ヒグマを目撃
（子グマ）"
2018-11-25,9:00,南区,南区藤野476番地付近,42.952917,141.280111,足跡、被毛を確認
2019-04-08,9:05,南区,南区藻岩山　自然歩道「藻岩山ルート」（T6分岐点から旭山記念公園入口に向かって約500mの地点）,43.028679,141.310425,ヒグマを目撃
2019-04-18,9:30,南区,南区石山945番地1付近,42.949426,141.337321,ヒグマを目撃
2019-04-18,8:30,南区,南区石山869番地1付近,42.951315,141.343515,ヒグマを目撃
2019-04-18,8:05,南区,南区石山876番地付近,42.948783,141.343472,ヒグマを目撃
2019-04-19,22:15,南区,南区石山78番地36付近,42.961445,141.339412,ヒグマを目撃
